ticker,date,open,high,low,close,adj_close,volume
,,MNDY,MNDY,MNDY,MNDY,MNDY,MNDY
MNDY,2025-09-24,216.0,220.8000030517578,211.31500244140625,212.39999389648438,212.39999389648438,1259100
MNDY,2025-09-25,209.60000610351562,210.0,205.0500030517578,207.27999877929688,207.27999877929688,1175600
MNDY,2025-09-26,207.3000030517578,209.0399932861328,205.41000366210938,206.58999633789062,206.58999633789062,595600
MNDY,2025-09-29,207.5,208.72000122070312,200.60400390625,201.57000732421875,201.57000732421875,882800
MNDY,2025-09-30,202.4199981689453,202.4199981689453,192.0500030517578,193.69000244140625,193.69000244140625,1454000
MNDY,2025-10-01,192.52999877929688,196.92999267578125,179.55999755859375,184.32000732421875,184.32000732421875,2882500
MNDY,2025-10-02,184.58999633789062,186.97999572753906,180.10000610351562,182.25999450683594,182.25999450683594,2113500
MNDY,2025-10-03,183.3699951171875,187.38900756835938,180.88999938964844,183.57000732421875,183.57000732421875,913000
MNDY,2025-10-06,184.61000061035156,194.22999572753906,182.0800018310547,188.66000366210938,188.66000366210938,1356800
MNDY,2025-10-07,190.0,190.00999450683594,177.77499389648438,178.9600067138672,178.9600067138672,1413400
MNDY,2025-10-08,180.0,186.66000366210938,177.85000610351562,184.19000244140625,184.19000244140625,1365400
MNDY,2025-10-09,184.72000122070312,191.2100067138672,184.10000610351562,190.61000061035156,190.61000061035156,751600
MNDY,2025-10-10,190.8000030517578,192.18499755859375,183.02000427246094,185.02999877929688,185.02999877929688,780000
MNDY,2025-10-13,188.11000061035156,188.25,181.30999755859375,185.64999389648438,185.64999389648438,832300
MNDY,2025-10-14,184.0500030517578,188.97500610351562,182.5,187.6649932861328,187.6649932861328,848700
MNDY,2025-10-15,189.61000061035156,189.61000061035156,179.14999389648438,180.91000366210938,180.91000366210938,1174600
MNDY,2025-10-16,181.36000061035156,185.0,176.0,176.94000244140625,176.94000244140625,1005700
MNDY,2025-10-17,176.22999572753906,182.0800018310547,176.0,181.5800018310547,181.5800018310547,653400
MNDY,2025-10-20,182.52999877929688,186.72000122070312,182.08999633789062,186.02000427246094,186.02000427246094,660500
MNDY,2025-10-21,185.24000549316406,198.14500427246094,185.24000549316406,192.27999877929688,192.27999877929688,836500
MNDY,2025-10-22,192.5,193.4199981689453,188.40499877929688,190.67999267578125,190.67999267578125,676600
MNDY,2025-10-23,191.58999633789062,197.3000030517578,191.31500244140625,196.22999572753906,196.22999572753906,637400
MNDY,2025-10-24,199.0,202.0,196.57000732421875,197.41000366210938,197.41000366210938,473300
MNDY,2025-10-27,198.5,202.0,197.10000610351562,198.77999877929688,198.77999877929688,475500
MNDY,2025-10-28,198.0,202.30999755859375,197.10000610351562,200.52000427246094,200.52000427246094,486300
MNDY,2025-10-29,199.3000030517578,201.49000549316406,195.82000732421875,195.94000244140625,195.94000244140625,616000
MNDY,2025-10-30,194.97000122070312,205.60000610351562,192.61300659179688,198.89999389648438,198.89999389648438,723100
MNDY,2025-10-31,198.1300048828125,207.64999389648438,198.1300048828125,205.24000549316406,205.24000549316406,764700
MNDY,2025-11-03,205.5800018310547,210.49000549316406,204.05999755859375,205.1199951171875,205.1199951171875,938800
MNDY,2025-11-04,200.25999450683594,200.33999633789062,192.72000122070312,194.2100067138672,194.2100067138672,335297
